#--Loggarna från alla 5 testomgångar--

##Running networks. Run nr. 1/5. Current random seed data: 3467963 Current random seed parameters: 6842634 Global hyper-parameters: epochs = 50, mini_batch_size = 10, eta = 4.0
#Network size: [784, 5, 10]
Epoch 0: 5689 / 10000, took 3.78 seconds
Epoch 1: 6174 / 10000, took 3.98 seconds
Epoch 2: 6078 / 10000, took 3.86 seconds
Epoch 3: 5995 / 10000, took 4.17 seconds
Epoch 4: 6182 / 10000, took 3.92 seconds
Epoch 5: 6183 / 10000, took 3.96 seconds
Epoch 6: 6176 / 10000, took 3.76 seconds
Epoch 7: 6116 / 10000, took 3.81 seconds
Epoch 8: 6138 / 10000, took 3.76 seconds
Epoch 9: 6167 / 10000, took 3.98 seconds
Epoch 10: 6259 / 10000, took 3.72 seconds
Epoch 11: 7300 / 10000, took 3.55 seconds
Epoch 12: 7528 / 10000, took 3.53 seconds
Epoch 13: 7781 / 10000, took 3.57 seconds
Epoch 14: 7871 / 10000, took 3.53 seconds
Epoch 15: 8160 / 10000, took 3.53 seconds
Epoch 16: 8243 / 10000, took 3.55 seconds
Epoch 17: 8401 / 10000, took 3.54 seconds
Epoch 18: 8438 / 10000, took 3.54 seconds
Epoch 19: 8384 / 10000, took 3.53 seconds
Epoch 20: 8539 / 10000, took 3.54 seconds
Epoch 21: 8475 / 10000, took 3.53 seconds
Epoch 22: 8539 / 10000, took 3.52 seconds
Epoch 23: 8558 / 10000, took 3.52 seconds
Epoch 24: 8553 / 10000, took 3.52 seconds
Epoch 25: 8451 / 10000, took 3.53 seconds
Epoch 26: 8615 / 10000, took 3.52 seconds
Epoch 27: 8630 / 10000, took 3.52 seconds
Epoch 28: 8539 / 10000, took 3.52 seconds
Epoch 29: 8618 / 10000, took 3.53 seconds
Epoch 30: 8612 / 10000, took 3.52 seconds
Epoch 31: 8633 / 10000, took 3.53 seconds
Epoch 32: 8641 / 10000, took 3.51 seconds
Epoch 33: 8654 / 10000, took 3.53 seconds
Epoch 34: 8690 / 10000, took 3.54 seconds
Epoch 35: 8661 / 10000, took 3.55 seconds
Epoch 36: 8682 / 10000, took 3.54 seconds
Epoch 37: 8658 / 10000, took 3.58 seconds
Epoch 38: 8609 / 10000, took 3.52 seconds
Epoch 39: 8570 / 10000, took 3.52 seconds
Epoch 40: 8599 / 10000, took 3.53 seconds
Epoch 41: 8606 / 10000, took 3.53 seconds
Epoch 42: 8627 / 10000, took 3.53 seconds
Epoch 43: 8672 / 10000, took 3.54 seconds
Epoch 44: 8699 / 10000, took 3.54 seconds
Epoch 45: 8711 / 10000, took 3.53 seconds
Epoch 46: 8642 / 10000, took 3.53 seconds
Epoch 47: 8635 / 10000, took 3.51 seconds
Epoch 48: 8669 / 10000, took 3.51 seconds
Epoch 49: 8608 / 10000, took 3.51 seconds
Final epoch completed! 
#.
(Time: 191.30867358400002)
#Network size: [784, 10, 10]
Epoch 0: 8681 / 10000, took 3.87 seconds
Epoch 1: 8883 / 10000, took 3.89 seconds
Epoch 2: 8860 / 10000, took 3.90 seconds
Epoch 3: 8930 / 10000, took 3.90 seconds
Epoch 4: 8967 / 10000, took 3.89 seconds
Epoch 5: 8850 / 10000, took 3.90 seconds
Epoch 6: 8925 / 10000, took 3.89 seconds
Epoch 7: 9017 / 10000, took 3.89 seconds
Epoch 8: 8955 / 10000, took 3.90 seconds
Epoch 9: 9035 / 10000, took 3.90 seconds
Epoch 10: 9060 / 10000, took 3.89 seconds
Epoch 11: 9068 / 10000, took 3.88 seconds
Epoch 12: 9062 / 10000, took 3.90 seconds
Epoch 13: 9046 / 10000, took 3.90 seconds
Epoch 14: 8992 / 10000, took 3.89 seconds
Epoch 15: 9047 / 10000, took 3.90 seconds
Epoch 16: 9055 / 10000, took 3.92 seconds
Epoch 17: 9111 / 10000, took 3.91 seconds
Epoch 18: 9057 / 10000, took 3.96 seconds
Epoch 19: 9014 / 10000, took 3.91 seconds
Epoch 20: 9053 / 10000, took 3.92 seconds
Epoch 21: 9004 / 10000, took 3.92 seconds
Epoch 22: 9048 / 10000, took 3.90 seconds
Epoch 23: 9003 / 10000, took 3.90 seconds
Epoch 24: 9000 / 10000, took 3.91 seconds
Epoch 25: 9100 / 10000, took 3.92 seconds
Epoch 26: 9082 / 10000, took 3.91 seconds
Epoch 27: 9089 / 10000, took 3.90 seconds
Epoch 28: 9104 / 10000, took 3.89 seconds
Epoch 29: 9073 / 10000, took 3.89 seconds
Epoch 30: 9066 / 10000, took 3.91 seconds
Epoch 31: 9085 / 10000, took 3.91 seconds
Epoch 32: 9113 / 10000, took 3.90 seconds
Epoch 33: 9037 / 10000, took 3.89 seconds
Epoch 34: 9091 / 10000, took 3.89 seconds
Epoch 35: 9094 / 10000, took 3.90 seconds
Epoch 36: 9119 / 10000, took 3.90 seconds
Epoch 37: 9084 / 10000, took 3.89 seconds
Epoch 38: 9046 / 10000, took 3.91 seconds
Epoch 39: 9092 / 10000, took 3.92 seconds
Epoch 40: 9108 / 10000, took 3.92 seconds
Epoch 41: 9068 / 10000, took 3.90 seconds
Epoch 42: 9096 / 10000, took 3.92 seconds
Epoch 43: 9066 / 10000, took 3.91 seconds
Epoch 44: 9097 / 10000, took 3.90 seconds
Epoch 45: 9092 / 10000, took 3.90 seconds
Epoch 46: 9091 / 10000, took 3.91 seconds
Epoch 47: 9101 / 10000, took 3.91 seconds
Epoch 48: 9062 / 10000, took 3.90 seconds
Epoch 49: 9096 / 10000, took 3.90 seconds
Final epoch completed! 
#.
(Time: 206.05189911)
#Network size: [784, 30, 10]
Epoch 0: 9142 / 10000, took 9.55 seconds
Epoch 1: 9207 / 10000, took 9.56 seconds
Epoch 2: 9340 / 10000, took 9.57 seconds
Epoch 3: 9370 / 10000, took 9.62 seconds
Epoch 4: 9389 / 10000, took 9.57 seconds
Epoch 5: 9437 / 10000, took 9.56 seconds
Epoch 6: 9428 / 10000, took 9.55 seconds
Epoch 7: 9421 / 10000, took 9.57 seconds
Epoch 8: 9420 / 10000, took 9.62 seconds
Epoch 9: 9440 / 10000, took 9.57 seconds
Epoch 10: 9448 / 10000, took 9.56 seconds
Epoch 11: 9437 / 10000, took 9.61 seconds
Epoch 12: 9473 / 10000, took 9.58 seconds
Epoch 13: 9438 / 10000, took 9.63 seconds
Epoch 14: 9464 / 10000, took 9.57 seconds
Epoch 15: 9466 / 10000, took 9.63 seconds
Epoch 16: 9450 / 10000, took 7.95 seconds
Epoch 17: 9479 / 10000, took 7.20 seconds
Epoch 18: 9492 / 10000, took 7.23 seconds
Epoch 19: 9466 / 10000, took 9.53 seconds
Epoch 20: 9491 / 10000, took 9.57 seconds
Epoch 21: 9499 / 10000, took 9.61 seconds
Epoch 22: 9470 / 10000, took 9.56 seconds
Epoch 23: 9483 / 10000, took 9.62 seconds
Epoch 24: 9485 / 10000, took 9.56 seconds
Epoch 25: 9508 / 10000, took 9.62 seconds
Epoch 26: 9480 / 10000, took 9.57 seconds
Epoch 27: 9495 / 10000, took 9.62 seconds
Epoch 28: 9480 / 10000, took 9.56 seconds
Epoch 29: 9496 / 10000, took 9.62 seconds
Epoch 30: 9486 / 10000, took 9.57 seconds
Epoch 31: 9480 / 10000, took 9.56 seconds
Epoch 32: 9477 / 10000, took 9.62 seconds
Epoch 33: 9507 / 10000, took 9.57 seconds
Epoch 34: 9517 / 10000, took 9.57 seconds
Epoch 35: 9514 / 10000, took 9.62 seconds
Epoch 36: 9486 / 10000, took 9.56 seconds
Epoch 37: 9504 / 10000, took 9.57 seconds
Epoch 38: 9511 / 10000, took 9.62 seconds
Epoch 39: 9480 / 10000, took 9.57 seconds
Epoch 40: 9496 / 10000, took 9.56 seconds
Epoch 41: 9506 / 10000, took 9.61 seconds
Epoch 42: 9504 / 10000, took 9.56 seconds
Epoch 43: 9491 / 10000, took 9.56 seconds
Epoch 44: 9507 / 10000, took 9.62 seconds
Epoch 45: 9493 / 10000, took 9.56 seconds
Epoch 46: 9510 / 10000, took 9.56 seconds
Epoch 47: 9482 / 10000, took 9.62 seconds
Epoch 48: 9508 / 10000, took 9.56 seconds
Epoch 49: 9497 / 10000, took 9.56 seconds
Final epoch completed! 
#.
(Time: 3912.96930455)
#Network size: [784, 50, 10]
Epoch 0: 7470 / 10000, took 13.36 seconds
Epoch 1: 8437 / 10000, took 13.41 seconds
Epoch 2: 8494 / 10000, took 13.42 seconds
Epoch 3: 8548 / 10000, took 13.38 seconds
Epoch 4: 8591 / 10000, took 13.39 seconds
Epoch 5: 8614 / 10000, took 13.40 seconds
Epoch 6: 8628 / 10000, took 13.39 seconds
Epoch 7: 8641 / 10000, took 13.38 seconds
Epoch 8: 8658 / 10000, took 13.38 seconds
Epoch 9: 8645 / 10000, took 13.39 seconds
Epoch 10: 8666 / 10000, took 13.40 seconds
Epoch 11: 8705 / 10000, took 13.38 seconds
Epoch 12: 8693 / 10000, took 13.39 seconds
Epoch 13: 8678 / 10000, took 13.35 seconds
Epoch 14: 8673 / 10000, took 13.40 seconds
Epoch 15: 8685 / 10000, took 13.33 seconds
Epoch 16: 8688 / 10000, took 13.39 seconds
Epoch 17: 8691 / 10000, took 13.36 seconds
Epoch 18: 8704 / 10000, took 13.37 seconds
Epoch 19: 8692 / 10000, took 13.36 seconds
Epoch 20: 8699 / 10000, took 13.37 seconds
Epoch 21: 8719 / 10000, took 13.39 seconds
Epoch 22: 8701 / 10000, took 13.37 seconds
Epoch 23: 8720 / 10000, took 13.39 seconds
Epoch 24: 8709 / 10000, took 13.37 seconds
Epoch 25: 8700 / 10000, took 13.38 seconds
Epoch 26: 8687 / 10000, took 13.39 seconds
Epoch 27: 8694 / 10000, took 13.39 seconds
Epoch 28: 8697 / 10000, took 13.39 seconds
Epoch 29: 8711 / 10000, took 13.39 seconds
Epoch 30: 8717 / 10000, took 13.39 seconds
Epoch 31: 8704 / 10000, took 13.36 seconds
Epoch 32: 8680 / 10000, took 13.39 seconds
Epoch 33: 8699 / 10000, took 13.39 seconds
Epoch 34: 8693 / 10000, took 13.39 seconds
Epoch 35: 8699 / 10000, took 13.39 seconds
Epoch 36: 8698 / 10000, took 13.41 seconds
Epoch 37: 8688 / 10000, took 13.40 seconds
Epoch 38: 8707 / 10000, took 13.39 seconds
Epoch 39: 8706 / 10000, took 13.36 seconds
Epoch 40: 8706 / 10000, took 13.38 seconds
Epoch 41: 8697 / 10000, took 13.38 seconds
Epoch 42: 8709 / 10000, took 13.39 seconds
Epoch 43: 8699 / 10000, took 13.36 seconds
Epoch 44: 8712 / 10000, took 13.40 seconds
Epoch 45: 8711 / 10000, took 13.39 seconds
Epoch 46: 8710 / 10000, took 13.37 seconds
Epoch 47: 8722 / 10000, took 13.36 seconds
Epoch 48: 8712 / 10000, took 13.67 seconds
Epoch 49: 8708 / 10000, took 13.40 seconds
Final epoch completed! 
#.
(Time: 8221.756925785001)
#Network size: [784, 70, 10]
Epoch 0: 5474 / 10000, took 15.65 seconds
Epoch 1: 5610 / 10000, took 15.56 seconds
Epoch 2: 6576 / 10000, took 15.64 seconds
Epoch 3: 6611 / 10000, took 15.66 seconds
Epoch 4: 6646 / 10000, took 15.61 seconds
Epoch 5: 7487 / 10000, took 15.52 seconds
Epoch 6: 7550 / 10000, took 15.60 seconds
Epoch 7: 7604 / 10000, took 15.67 seconds
Epoch 8: 7555 / 10000, took 15.64 seconds
Epoch 9: 7574 / 10000, took 15.56 seconds
Epoch 10: 7607 / 10000, took 15.63 seconds
Epoch 11: 8462 / 10000, took 15.63 seconds
Epoch 12: 8494 / 10000, took 15.58 seconds
Epoch 13: 8490 / 10000, took 15.51 seconds
Epoch 14: 8492 / 10000, took 15.58 seconds
Epoch 15: 8506 / 10000, took 15.60 seconds
Epoch 16: 8528 / 10000, took 15.59 seconds
Epoch 17: 8514 / 10000, took 15.49 seconds
Epoch 18: 8520 / 10000, took 15.58 seconds
Epoch 19: 9589 / 10000, took 15.59 seconds
Epoch 20: 9643 / 10000, took 15.60 seconds
Epoch 21: 9634 / 10000, took 15.51 seconds
Epoch 22: 9642 / 10000, took 15.59 seconds
Epoch 23: 9613 / 10000, took 15.59 seconds
Epoch 24: 9652 / 10000, took 15.59 seconds
Epoch 25: 9621 / 10000, took 15.52 seconds
Epoch 26: 9641 / 10000, took 15.61 seconds
Epoch 27: 9648 / 10000, took 15.61 seconds
Epoch 28: 9643 / 10000, took 15.59 seconds
Epoch 29: 9660 / 10000, took 15.52 seconds
Epoch 30: 9641 / 10000, took 15.62 seconds
Epoch 31: 9642 / 10000, took 15.62 seconds
Epoch 32: 9649 / 10000, took 15.62 seconds
Epoch 33: 9661 / 10000, took 15.52 seconds
Epoch 34: 9632 / 10000, took 15.62 seconds
Epoch 35: 9655 / 10000, took 15.60 seconds
Epoch 36: 9644 / 10000, took 15.60 seconds
Epoch 37: 9653 / 10000, took 15.53 seconds
Epoch 38: 9648 / 10000, took 15.62 seconds
Epoch 39: 9659 / 10000, took 15.62 seconds
Epoch 40: 9649 / 10000, took 15.60 seconds
Epoch 41: 9658 / 10000, took 15.54 seconds
Epoch 42: 9653 / 10000, took 15.60 seconds
Epoch 43: 9665 / 10000, took 15.61 seconds
Epoch 44: 9648 / 10000, took 15.61 seconds
Epoch 45: 9655 / 10000, took 15.52 seconds
Epoch 46: 9665 / 10000, took 15.61 seconds
Epoch 47: 9662 / 10000, took 15.60 seconds
Epoch 48: 9675 / 10000, took 15.62 seconds
Epoch 49: 9667 / 10000, took 15.53 seconds
Final epoch completed! 
#.
(Time: 9544.315520921002)
#Network size: [784, 90, 10]
Epoch 0: 7255 / 10000, took 19.18 seconds
Epoch 1: 8219 / 10000, took 19.23 seconds
Epoch 2: 8350 / 10000, took 19.08 seconds
Epoch 3: 8350 / 10000, took 19.24 seconds
Epoch 4: 8378 / 10000, took 19.12 seconds
Epoch 5: 8409 / 10000, took 19.20 seconds
Epoch 6: 8420 / 10000, took 19.11 seconds
Epoch 7: 8464 / 10000, took 19.23 seconds
Epoch 8: 8456 / 10000, took 19.06 seconds
Epoch 9: 8487 / 10000, took 19.22 seconds
Epoch 10: 8507 / 10000, took 19.12 seconds
Epoch 11: 8502 / 10000, took 19.17 seconds
Epoch 12: 8492 / 10000, took 19.11 seconds
Epoch 13: 8510 / 10000, took 19.88 seconds
Epoch 14: 8493 / 10000, took 22.14 seconds
Epoch 15: 8502 / 10000, took 20.39 seconds
Epoch 16: 8521 / 10000, took 20.34 seconds
Epoch 17: 8525 / 10000, took 19.48 seconds
Epoch 18: 8514 / 10000, took 19.42 seconds
Epoch 19: 8527 / 10000, took 19.55 seconds
Epoch 20: 8535 / 10000, took 19.34 seconds
Epoch 21: 8529 / 10000, took 19.58 seconds
Epoch 22: 8523 / 10000, took 19.45 seconds
Epoch 23: 8506 / 10000, took 19.55 seconds
Epoch 24: 8528 / 10000, took 19.44 seconds
Epoch 25: 8532 / 10000, took 19.57 seconds
Epoch 26: 8541 / 10000, took 19.38 seconds
Epoch 27: 8532 / 10000, took 19.55 seconds
Epoch 28: 8525 / 10000, took 19.41 seconds
Epoch 29: 8528 / 10000, took 19.58 seconds
Epoch 30: 8537 / 10000, took 19.44 seconds
Epoch 31: 8544 / 10000, took 19.59 seconds
Epoch 32: 8545 / 10000, took 19.40 seconds
Epoch 33: 8560 / 10000, took 19.81 seconds
Epoch 34: 8548 / 10000, took 19.53 seconds
Epoch 35: 8544 / 10000, took 19.67 seconds
Epoch 36: 8549 / 10000, took 19.59 seconds
Epoch 37: 8554 / 10000, took 19.31 seconds
Epoch 38: 8540 / 10000, took 19.14 seconds
Epoch 39: 8546 / 10000, took 19.34 seconds
Epoch 40: 8547 / 10000, took 19.22 seconds
Epoch 41: 8548 / 10000, took 19.23 seconds
Epoch 42: 8556 / 10000, took 19.59 seconds
Epoch 43: 8562 / 10000, took 19.64 seconds
Epoch 44: 8548 / 10000, took 19.40 seconds
Epoch 45: 8551 / 10000, took 19.59 seconds
Epoch 46: 8548 / 10000, took 19.40 seconds
Epoch 47: 8543 / 10000, took 19.44 seconds
Epoch 48: 8546 / 10000, took 19.38 seconds
Epoch 49: 8554 / 10000, took 19.71 seconds
Final epoch completed! 
#.
(Time: 11852.786276694002)
#Network size: [784, 120, 10]
Epoch 0: 5906 / 10000, took 25.74 seconds
Epoch 1: 5968 / 10000, took 26.00 seconds
Epoch 2: 6866 / 10000, took 25.62 seconds
Epoch 3: 6889 / 10000, took 25.54 seconds
Epoch 4: 6894 / 10000, took 25.54 seconds
Epoch 5: 6892 / 10000, took 25.52 seconds
Epoch 6: 6935 / 10000, took 25.52 seconds
Epoch 7: 6963 / 10000, took 25.55 seconds
Epoch 8: 6956 / 10000, took 25.84 seconds
Epoch 9: 6972 / 10000, took 25.48 seconds
Epoch 10: 7890 / 10000, took 25.46 seconds
Epoch 11: 7897 / 10000, took 25.48 seconds
Epoch 12: 7910 / 10000, took 25.45 seconds
Epoch 13: 7917 / 10000, took 25.48 seconds
Epoch 14: 7931 / 10000, took 25.43 seconds
Epoch 15: 7937 / 10000, took 25.53 seconds
Epoch 16: 7932 / 10000, took 25.43 seconds
Epoch 17: 7947 / 10000, took 25.49 seconds
Epoch 18: 7936 / 10000, took 25.62 seconds
Epoch 19: 7951 / 10000, took 25.46 seconds
Epoch 20: 7952 / 10000, took 25.45 seconds
Epoch 21: 7942 / 10000, took 25.45 seconds
Epoch 22: 7951 / 10000, took 25.59 seconds
Epoch 23: 7946 / 10000, took 25.44 seconds
Epoch 24: 7960 / 10000, took 25.43 seconds
Epoch 25: 7949 / 10000, took 25.46 seconds
Epoch 26: 7963 / 10000, took 25.44 seconds
Epoch 27: 7962 / 10000, took 25.45 seconds
Epoch 28: 7966 / 10000, took 25.47 seconds
Epoch 29: 7956 / 10000, took 25.45 seconds
Epoch 30: 7963 / 10000, took 25.45 seconds
Epoch 31: 7971 / 10000, took 25.46 seconds
Epoch 32: 7951 / 10000, took 25.46 seconds
Epoch 33: 7966 / 10000, took 25.46 seconds
Epoch 34: 7958 / 10000, took 25.47 seconds
Epoch 35: 7959 / 10000, took 25.46 seconds
Epoch 36: 7967 / 10000, took 25.48 seconds
Epoch 37: 7961 / 10000, took 25.46 seconds
Epoch 38: 7964 / 10000, took 25.52 seconds
Epoch 39: 7967 / 10000, took 25.55 seconds
Epoch 40: 7970 / 10000, took 25.45 seconds
Epoch 41: 7968 / 10000, took 25.48 seconds
Epoch 42: 7964 / 10000, took 25.55 seconds
Epoch 43: 7967 / 10000, took 25.55 seconds
Epoch 44: 7970 / 10000, took 25.50 seconds
Epoch 45: 7977 / 10000, took 25.54 seconds
Epoch 46: 7971 / 10000, took 25.55 seconds
Epoch 47: 7975 / 10000, took 25.62 seconds
Epoch 48: 7975 / 10000, took 25.52 seconds
Epoch 49: 7975 / 10000, took 25.63 seconds
Final epoch completed! 
#.
(Time: 15496.892686385996)
#Network size: [784, 784, 10]
Epoch 0: 1797 / 10000, took 163.34 seconds
Epoch 1: 1726 / 10000, took 163.74 seconds
Epoch 2: 1866 / 10000, took 163.64 seconds
Epoch 3: 1943 / 10000, took 163.99 seconds
Epoch 4: 1910 / 10000, took 163.70 seconds
Epoch 5: 1985 / 10000, took 163.51 seconds
Epoch 6: 1966 / 10000, took 164.63 seconds
Epoch 7: 1948 / 10000, took 167.91 seconds
Epoch 8: 1986 / 10000, took 167.95 seconds
Epoch 9: 2051 / 10000, took 165.57 seconds
Epoch 10: 2182 / 10000, took 166.73 seconds
Epoch 11: 2412 / 10000, took 168.17 seconds
Epoch 12: 2477 / 10000, took 168.75 seconds
Epoch 13: 2925 / 10000, took 167.94 seconds
Epoch 14: 3403 / 10000, took 167.77 seconds
Epoch 15: 3437 / 10000, took 171.29 seconds
Epoch 16: 3447 / 10000, took 169.00 seconds
Epoch 17: 3417 / 10000, took 168.93 seconds
Epoch 18: 3398 / 10000, took 169.06 seconds
Epoch 19: 3613 / 10000, took 162.38 seconds
Epoch 20: 3360 / 10000, took 161.43 seconds
Epoch 21: 3754 / 10000, took 161.43 seconds
Epoch 22: 3369 / 10000, took 161.98 seconds
Epoch 23: 3684 / 10000, took 163.26 seconds
Epoch 24: 3662 / 10000, took 162.21 seconds
Epoch 25: 3728 / 10000, took 161.97 seconds
Epoch 26: 3657 / 10000, took 162.66 seconds
Epoch 27: 3616 / 10000, took 161.99 seconds
Epoch 28: 3536 / 10000, took 165.66 seconds
Epoch 29: 3737 / 10000, took 167.77 seconds
Epoch 30: 3599 / 10000, took 167.59 seconds
Epoch 31: 3714 / 10000, took 167.62 seconds
Epoch 32: 3843 / 10000, took 167.05 seconds
Epoch 33: 3760 / 10000, took 162.97 seconds
Epoch 34: 3749 / 10000, took 163.01 seconds
Epoch 35: 3686 / 10000, took 163.34 seconds
Epoch 36: 3766 / 10000, took 162.97 seconds
Epoch 37: 3621 / 10000, took 162.89 seconds
Epoch 38: 3703 / 10000, took 165.12 seconds
Epoch 39: 3592 / 10000, took 167.61 seconds
Epoch 40: 3726 / 10000, took 166.06 seconds
Epoch 41: 3805 / 10000, took 165.94 seconds
Epoch 42: 3890 / 10000, took 164.36 seconds
Epoch 43: 3773 / 10000, took 164.90 seconds
Epoch 44: 4416 / 10000, took 163.48 seconds
Epoch 45: 4488 / 10000, took 165.69 seconds
Epoch 46: 4739 / 10000, took 167.23 seconds
Epoch 47: 4626 / 10000, took 167.90 seconds
Epoch 48: 4627 / 10000, took 167.80 seconds
Epoch 49: 4468 / 10000, took 167.52 seconds
Final epoch completed! 
#.
(Time: 99417.396347112)
##.
##Running networks. Run nr. 2/5. Current random seed data: 8215724 Current random seed parameters: 753857 Global hyper-parameters: epochs = 50, mini_batch_size = 10, eta = 4.0
#Network size: [784, 5, 10]
Epoch 0: 8112 / 10000, took 3.55 seconds
Epoch 1: 8364 / 10000, took 3.56 seconds
Epoch 2: 8451 / 10000, took 3.56 seconds
Epoch 3: 8576 / 10000, took 3.55 seconds
Epoch 4: 8482 / 10000, took 3.55 seconds
Epoch 5: 8568 / 10000, took 3.57 seconds
Epoch 6: 8509 / 10000, took 3.54 seconds
Epoch 7: 8568 / 10000, took 3.56 seconds
Epoch 8: 8443 / 10000, took 3.57 seconds
Epoch 9: 8598 / 10000, took 3.56 seconds
Epoch 10: 8549 / 10000, took 3.54 seconds
Epoch 11: 8374 / 10000, took 3.55 seconds
Epoch 12: 8601 / 10000, took 3.55 seconds
Epoch 13: 8523 / 10000, took 3.54 seconds
Epoch 14: 8588 / 10000, took 3.54 seconds
Epoch 15: 8534 / 10000, took 3.55 seconds
Epoch 16: 8507 / 10000, took 3.54 seconds
Epoch 17: 8500 / 10000, took 3.55 seconds
Epoch 18: 8560 / 10000, took 3.54 seconds
Epoch 19: 8527 / 10000, took 3.55 seconds
